Puzzle Number,Description,Words,Color
85,AUTOMATIC TRANSMISSION SETTINGS,"DRIVE, NEUTRAL, PARK, REVERSE",#69e352
85,THINGS WITH TEETH,"COMB, GEAR, SAW, ZIPPER",#5492ff
85,___ CHAIR,"FIRST, FOLDING, HIGH, LAWN",#df7bea
86,INFORMATION DISPLAYS,"CHART, DIAGRAM, GRAPH, MAP",#fbd400
86,ADDITIONAL BENEFIT,"BONUS, EXTRA, ICING, PERK",#69e352
86,THANKSGIVING FOOD,"GRAVY, PIE, STUFFING, TURKEY",#5492ff
86,SONG TITLES WITH PARENTHESES,"I RAN, ISTANBUL, MONTERO, SATISFACTION",#df7bea
87,CREATURES IN FOLKLORE,"GNOME, GOBLIN, OGRE, TROLL",#fbd400
87,FLOWER PARTS,"BUD, LEAF, PETAL, STALK",#69e352
87,ONE INVOLVED IN ESPIONAGE,"AGENT, MOLE, PLANT, SPY",#5492ff
87,CHINESE ZODIAC ANIMALS,"DRAGON, HORSE, RABBIT, TIGER",#df7bea
88,ROCKY HORROR PICTURE SHOW,"HORROR, PICTURE, ROCKY, SHOW",#fbd400
88,WHO FRAMED ROGER RABBIT,"FRAMED, RABBIT, ROGER, WHO",#69e352
88,WHEN HARRY MET SALLY,"HARRY, MET, SALLY, WHEN",#5492ff
88,MAD MAX FURY ROAD,"FURY, MAD, MAX, ROAD",#df7bea
89,INHERENT NATURE,"ESSENCE, HEART, SOUL, SPIRIT",#fbd400
89,FERMENTED ALCOHOLIC BEVERAGES,"CIDER, PORT, SAKE, STOUT",#69e352
89,PIXAR MOVIES,"BRAVE, CARS, COCO, UP",#5492ff
89,___ TAPE,"DEMO, RED, SCOTCH, TICKER",#df7bea
90,BASEBALL CALLS,"BALL, OUT, SAFE, STRIKE",#fbd400
90,HEAT SOURCES,"FORGE, FURNACE, KILN, OVEN",#69e352
90,FISH THAT ARE VERBS,"CARP, CATFISH, FLOUNDER, SMELT",#5492ff
90,SILENT “L”,"COLONEL, SALMON, WALK, YOLK",#df7bea
91,AMAZON ANIMALS,"ANACONDA, CAPYBARA, JAGUAR, TOUCAN",#fbd400
91,LOWEST POINT,"BASE, BOTTOM, FOOT, FOUNDATION",#69e352
91,MUSICALS,"COMPANY, GREASE, HAIR, RENT",#5492ff
91,SEA ___,"CHANGE, CUCUMBER, LEGS, LION",#df7bea
92,HALLOWEEN DECORATIONS,"BAT, COBWEB, PUMPKIN, TOMBSTONE",#fbd400
92,TV SHOWS,"24, BONES, FIREFLY, WEEDS",#69e352
92,SLOT MACHINE SYMBOLS,"7, BAR, BELL, CHERRY",#5492ff
92,NUMBERS IN BOOK TITLES,"20,000, 2001, 22, 451",#df7bea
93,HOT DRINKS,"CHAI, COCOA, COFFEE, TEA",#fbd400
93,ANIMAL SOUNDS,"BUZZ, CLUCK, MEOW, OINK",#69e352
93,TREE FEATURES,"BARK, BRANCH, ROOT, TRUNK",#5492ff
93,INSIDE INFO,"DIRT, DISH, SCOOP, SKINNY",#df7bea
94,“SKEDADDLE!”,"GET OUT, GO, LEAVE, SCRAM",#fbd400
94,PRONOUNS,"ME, THEM, US, YOU",#69e352
94,ANAGRAMS,"NOPE, OPEN, PEON, PONE",#5492ff
94,___ BABY,"BEANIE, FUR, NEPO, SANTA",#df7bea
95,EYE PARTS,"IRIS, LENS, PUPIL, RETINA",#fbd400
95,COUNTERFEIT,"BOGUS, FAKE, PHONY, SHAM",#69e352
95,RADIO LINGO,"COPY, OUT, OVER, ROGER",#5492ff
95,SONGS THAT ARE NAMES,"ALEJANDRO, LOLA, MICHELLE, STAN",#df7bea
96,BOVIDS,"BUFFALO, COW, GOAT, SHEEP",#fbd400
96,EMIT LIGHT,"BEAM, GLOW, RADIATE, SHINE",#69e352
96,GYMNASTICS APPARATUS,"FLOOR, HORSE, RINGS, VAULT",#5492ff
96,WORDS THAT SOUND LIKE TWO LETTERS,"CUTIE, ENVY, EXCEL, SEEDY",#df7bea
97,FAIRY TALE FIGURES,"GIANT, PRINCESS, WITCH, WOLF",#fbd400
97,CHESS TERMS,"BISHOP, GAMBIT, MATE, QUEEN",#69e352
97,“PEANUTS” CHARACTERS,"CHARLIE, PEPPERMINT PATTY, PIGPEN, WOODSTOCK",#5492ff
97,I LOVE ___,"LUCY, NEW YORK, ROCK 'N ROLL, YOU",#df7bea
98,FRUITS,"APRICOT, FIG, GRAPE, LIME",#fbd400
98,LUXURIOUS,"DELUXE, GRAND, LAVISH, OPULENT",#69e352
98,BEST ACTRESS OSCAR WINNERS,"BERRY, FOSTER, STONE, SWANK",#5492ff
98,WHAT “GREEN” MIGHT MEAN,"ENVIOUS, FRESH, NAIVE, UNWELL",#df7bea
99,INTELLIGENT,"BRIGHT, CLEVER, QUICK, SHARP",#fbd400
99,AIRLINES,"ALASKA, FRONTIER, SOUTHWEST, SPIRIT",#69e352
99,WESTERN TROPES,"COWBOY, DRIFTER, OUTLAW, SHERIFF",#5492ff
99,TV SHOW TITLE SURNAMES,"LASSO, MARS, ROGERS, SMART",#df7bea
100,WEB BROWSER-RELATED,"BOOKMARK, HISTORY, TAB, WINDOW",#fbd400
100,SHIRT FEATURES,"BUTTON, COLLAR, CUFF, POCKET",#69e352
100,CONNECTION,"BOND, LINK, RELATION, TIE",#5492ff
100,DIRTY ___,"DOZEN, JOKE, LAUNDRY, MARTINI",#df7bea
101,REPLACEMENT,"BACKUP, COPY, EXTRA, SPARE",#fbd400
101,BOWLING,"ALLEY, BALL, LANE, PIN",#69e352
101,COMMON MERCH ITEMS,"MUG, PEN, TEE, TOTE",#5492ff
101,NUMBER HOMOPHONES,"ATE, FOR, TOO, WON",#df7bea
102,RESTAURANT WORKERS,"BARTENDER, CHEF, HOST, SERVER",#fbd400
102,MOTOR VEHICLES,"BUS, CAR, MOTORCYCLE, TRUCK",#69e352
102,MUPPETS,"ANIMAL, BEAKER, GONZO, SCOOTER",#5492ff
102,HAND- AND FOOT-RELATED SLANG,"DIGIT, DOG, MITT, PIGGY",#df7bea
103,SODA FOUNTAIN ORDERS,"FLOAT, MALT, SHAKE, SUNDAE",#fbd400
103,"SET, AS PLANS","CONCRETE, FIRM, SOLID, TANGIBLE",#69e352
103,M. NIGHT SHYAMALAN MOVIES,"GLASS, OLD, SIGNS, SPLIT",#5492ff
103,___BOARD,"DASH, HOVER, KEY, STAR",#df7bea
104,ROBUST,"FIT, HEALTHY, SOUND, STRONG",#fbd400
104,DECLINE,"DIP, DROP, FALL, SINK",#69e352
104,WATER SOURCES,"FOUNTAIN, SPRING, TAP, WELL",#5492ff
104,WOMEN SINGERS,"KEYS, NICKS, SUMMER, SWIFT",#df7bea
105,KITCHEN UTENSILS,"GRATER, LADLE, PEELER, WHISK",#fbd400
105,VERTEBRATES,"BIRD, FISH, MAMMAL, REPTILE",#69e352
105,SUPER MARIO-RELATED,"DINOSAUR, MUSHROOM, PLUMBER, PRINCESS",#5492ff
105,SITCOM FAMILIES,"BUNKER, CLEAVER, PARTRIDGE, TANNER",#df7bea
106,BRIDAL ACCESSORIES,"BOUQUET, RING, TRAIN, VEIL",#fbd400
106,“C” WORDS FOR “ENVELOP”,"CAKE, COAT, COVER, CRUST",#69e352
106,JACKS,"BLACK, FROST, MA, SPARROW",#5492ff
106,SOCIAL MEDIA APP ENDINGS,"BOOK, GRAM, IN, TUBE",#df7bea
107,SNAKES,"BOA, MAMBA, PYTHON, VIPER",#fbd400
107,LINGERIE,"GARTER, SLIP, TEDDY, THONG",#69e352
107,SUMMARY,"ABSTRACT, BRIEF, DIGEST, RUNDOWN",#5492ff
107,FULL ___,"CIRCLE, HOUSE, MONTY, MOON",#df7bea
108,PRODUCED BY TREES,"ACORN, CONE, POLLEN, SAP",#fbd400
108,CANDY STORE TREATS,"CHOCOLATE, GUM, LICORICE, LOLLIPOP",#69e352
108,TARGET OF A SCHEME,"CHUMP, FOOL, MARK, SUCKER",#5492ff
108,THINGS WITH EYE(S),"FACE, HURRICANE, NEEDLE, POTATO",#df7bea
109,REFLECT LIGHT,"FLASH, GLEAM, GLITTER, SPARKLE",#fbd400
109,WAYS TO GATHER FOOD,"FISH, FORAGE, HUNT, TRAP",#69e352
109,RAP SUBGENRES,"BOUNCE, CRUNK, DRILL, GRIME",#5492ff
109,LIGHT ___,"BEER, BULB, RAIL, YEAR",#df7bea
110,VERY IMPORTANT,"CENTRAL, CRITICAL, KEY, VITAL",#fbd400
110,RECYCLING CATEGORIES,"GLASS, METAL, PAPER, PLASTIC",#69e352
110,HUDSONS,"HENRY, JENNIFER, KATE, ROCK",#5492ff
110,WHAT “BEAT” MAY MEAN,"ASSIGNMENT, DEFEAT, TEMPO, TIRED",#df7bea
111,PLAYING CARD SUITS,"CLUB, DIAMOND, HEART, SPADE",#fbd400
111,GOLF CLUBS,"IRON, PUTTER, WEDGE, WOOD",#69e352
111,YEARN,"ACHE, LONG, PINE, THIRST",#5492ff
111,INSUFFICIENT,"LOW, SHORT, SHY, WANTING",#df7bea
112,COFFEE COUNTER ITEMS,"CUP, LID, STIRRER, STRAW",#fbd400
112,NOCTURNAL ANIMALS,"BAT, MOTH, OWL, WOLF",#69e352
112,THINGS THAT ARE RED,"BEET, BRICK, CARDINAL, POPPY",#5492ff
112,___ FIGURE,"ACTION, BALLPARK, GO, STICK",#df7bea
113,WAYS TO SHOW RESPECT,"BOW, KNEEL, SALUTE, STAND",#fbd400
113,IPHONE APPS,"CLOCK, MAIL, MAPS, NOTES",#69e352
113,ANIMAL COVERINGS,"DOWN, FUR, SCALES, SHELL",#5492ff
113,“POINTERS”,"ARROW, DOG, FINGER, HINT",#df7bea
114,LONG-HAIRED ANIMALS,"AFGHAN, ALPACA, ANGORA, YAK",#fbd400
114,PRATTLE ON,"BLATHER, CHAT, GAB, JABBER",#69e352
114,SNEAKER BRANDS,"CONVERSE, JORDAN, PUMA, VANS",#5492ff
114,___ BALLOON,"LEAD, SPEECH, TRIAL, WATER",#df7bea
115,CHRISTMAS-RELATED,"MISTLETOE, REINDEER, SNOWMAN, STOCKING",#fbd400
115,MAKE PUBLIC,"DISPLAY, EXHIBIT, PRESENT, SHOW",#69e352
115,TORUS-SHAPED FOOD,"BAGEL, CHEERIO, DONUT, LIFESAVER",#5492ff
115,THINGS WITH STRIPES,"CANDY CANE, CROSSWALK, REFEREE, TIGER",#df7bea
116,DIVISION,"ARM, BRANCH, CHAPTER, WING",#fbd400
116,IMPERIAL UNITS,"BUSHEL, PECK, STONE, TON",#69e352
116,M.L.B. TEAM MEMBER,"ANGEL, CUB, MET, RED",#5492ff
116,INSECT HOMOPHONES,"AUNT, BEATLE, FLEE, NAT",#df7bea
117,"LAUGHTER, IN A TEXT","DEAD, HAHA, LOL, ROFL",#fbd400
117,ART MOVEMENTS,"DADA, DECO, GOTHIC, POP",#69e352
117,“PETER PAN” CHARACTERS,"HOOK, NANA, PETER, WENDY",#5492ff
117,LADY ___,"BIRD, GAGA, LUCK, MACBETH",#df7bea
118,RHYMES,"AARON, DARREN, KAREN, SHARON",#fbd400
118,NATURAL FEATURES,"BROOK, CLIFF, DALE, SAVANNA",#69e352
118,IRREGULAR VERBS,"DREW, MAY, ROSE, WILL",#5492ff
118,PALINDROMES,"EVE, HANNAH, NATAN, OTTO",#df7bea
119,CELEBRATORY OCCASIONS,"ANNIVERSARY, BIRTHDAY, SHOWER, WEDDING",#fbd400
119,PHONE CONNECTIVITY,"BARS, RECEPTION, SERVICE, SIGNAL",#69e352
119,CITIES AND TOWNS IN ENGLAND,"BATH, DERBY, READING, SANDWICH",#5492ff
119,___ OPERA,"COMIC, MET, ROCK, SOAP",#df7bea
120,CROPS,"CORN, CUCUMBER, PEPPER, TOMATO",#fbd400
120,SLANG FOR HEAD,"CROWN, DOME, MELON, NOODLE",#69e352
120,SONG,"CUT, NUMBER, SINGLE, TRACK",#5492ff
120,THINGS THAT WHISTLE,"BIRD, KETTLE, REFEREE, TRAIN",#df7bea
121,ORIGIN,"GENESIS, GERM, SEED, SOURCE",#fbd400
121,BIBLE BOOKS,"ACTS, JOB, KINGS, MARK",#69e352
121,N.H.L. TEAMS,"FLAMES, KRAKEN, STARS, WILD",#5492ff
121,POWER ___,"NAP, PLANT, RANGER, TRIP",#df7bea
122,FILM SET DIRECTIVES,"ACTION, CAMERA, CUT, LIGHTS",#fbd400
122,CONDITIONAL WORDS,"CAN, COULD, MAY, MIGHT",#69e352
122,FOREMOST,"HEAD, LEAD, PRIME, TOP",#5492ff
122,___ PAPER,"BUTCHER, SCRAP, TOILET, WAX",#df7bea
123,CONCEAL,"BLOCK, COVER, HIDE, MASK",#fbd400
123,PARTS OF A WATCH,"CROWN, DIAL, HAND, STRAP",#69e352
123,WONDER WOMAN’S COSTUME,"LASSO, SHIELD, SWORD, TIARA",#5492ff
123,THINGS THAT CAN RUN,"CANDIDATE, FAUCET, MASCARA, NOSE",#df7bea
124,BEANS,"FAVA, KIDNEY, LIMA, PINTO",#fbd400
124,CITIES BEGINNING WITH “L”,"LAGOS, LIMERICK, LINCOLN, LUXOR",#69e352
124,POETRY TERMS,"LINE, METER, RHYME, VERSE",#5492ff
124,“THE(E) ___” RAPPERS,"CREATOR, DUDE, RAPPER, STALLION",#df7bea
125,BUTT,"BOTTOM, BUNS, SEAT, TAIL",#fbd400
125,ROTARY PHONE PARTS,"CORD, CRADLE, DIAL, HANDSET",#69e352
125,SLANG FOR HOME,"CRIB, DIGS, JOINT, PAD",#5492ff
125,PLUNDER,"BOOTY, LOOT, SPOILS, SWAG",#df7bea
126,TOOLS,"FILE, HAMMER, LEVEL, SAW",#fbd400
126,PULL,"JERK, TUG, WRENCH, YANK",#69e352
126,SHORTCUT COMMANDS,"COPY, FIND, PRINT, SAVE",#5492ff
126,TITLE MOVIE ANIMALS,"BABE, BEETHOVEN, CHARLOTTE, WILLY",#df7bea
127,DAYS OF THE WEEK,"FRIDAY, SATURDAY, SUNDAY, THURSDAY",#fbd400
127,GO BAD,"ROT, SOUR, SPOIL, TURN",#69e352
127,“THE ADDAMS FAMILY” CHARACTERS,"FESTER, LURCH, THING, WEDNESDAY",#5492ff
127,FAT ___,"CAT, CHANCE, LIP, TUESDAY",#df7bea
128,TAUNTS,"BOO, HISS, JEER, RASPBERRY",#fbd400
128,FAILURE,"BOMB, DUD, FLOP, LEMON",#69e352
128,RUDELY BREAK OFF CONTACT,"DESERT, GHOST, IGNORE, JILT",#5492ff
128,ROCK ___,"BOTTOM, CANDY, GARDEN, STAR",#df7bea
129,SOMETHING TIRESOME,"BORE, DRAG, SNOOZE, YAWN",#fbd400
129,BIT OF WIND,"BREEZE, DRAFT, GUST, PUFF",#69e352
129,PIQUANCY,"BITE, KICK, TANG, ZIP",#5492ff
129,SINGULAR OF THINGS SEEN IN PAIRS,"BOXER, GOGGLE, PANT, TONG",#df7bea
130,FALSIFY,"FABRICATE, FAKE, FIX, FORGE",#fbd400
130,MILD OATHS,"FIDDLESTICKS, FIE, FRICK, FUDGE",#69e352
130,TV SHOWS,"FARGO, FIREFLY, FLEABAG, FLIPPER",#5492ff
130,FAST ___,"FASHION, FOOD, FORWARD, FRIENDS",#df7bea
131,ANIMAL HOMES,"DEN, HIVE, LAIR, NEST",#fbd400
131,VIRTUAL SPACES,"CLOUD, METAVERSE, NET, WEB",#69e352
131,EQUITABLE,"EQUAL, EVEN, FAIR, JUST",#5492ff
131,___ BURGER,"GOOD, IMPOSSIBLE, NOTHING, WARREN",#df7bea
132,TABLEWARE,"BOWL, DISH, PLATE, SAUCER",#fbd400
132,NONSENSE,"BALONEY, BUNK, CROCK, TRIPE",#69e352
132,BRA PARTS,"CUP, HOOK, STRAP, WIRE",#5492ff
132,ACRONYMS,"LASER, RADAR, SCUBA, SPAM",#df7bea
133,RELAX,"CHILL, HANG, LOAF, LOUNGE",#fbd400
133,CATCHY SONG,"BANGER, BOP, GROOVE, JAM",#69e352
133,BRITISH CUISINE,"MASH, ROAST, SCONE, TRIFLE",#5492ff
133,STICKY SITUATION,"BIND, PICKLE, SCRAPE, SPOT",#df7bea
134,CELL PHONE MODES,"FOCUS, RING, SILENT, VIBRATE",#fbd400
134,IMPEL,"DRIVE, INSPIRE, MOTIVATE, SPUR",#69e352
134,ROMANTIC BEGINNINGS,"CONNECTION, FEELINGS, SPARK, VIBE",#5492ff
134,HARD ___,"CANDY, COPY, KNOCKS, SELTZER",#df7bea
135,ANIMAL GROUPS,"COLONY, HERD, PRIDE, SCHOOL",#fbd400
135,SMALL OPENING,"CRANNY, NICHE, NOOK, RECESS",#69e352
135,PARADIGMATIC,"CLASSIC, DEFINITIVE, MODEL, TEXTBOOK",#5492ff
135,RHYMING COMPOUND WORDS,"BACKPACK, BIGWIG, DOWNTOWN, RAGTAG",#df7bea
136,GRAMMAR TENSE TERMS,"FUTURE, PAST, PERFECT, PRESENT",#fbd400
136,“GRACIOUS ME!”,"GOODNESS, HEAVENS, LORD, MERCY",#69e352
136,12 DAYS OF CHRISTMAS,"DRUMMER, LADY, RING, SWAN",#5492ff
136,___ SYRUP,"CORN, COUGH, MAPLE, SIMPLE",#df7bea
137,INCREASE,"BUILD, GROW, MOUNT, SWELL",#fbd400
137,"EXCELLENT, IN OLD SLANG","ACES, KEEN, NEATO, NIFTY",#69e352
137,FINE BUBBLES,"FOAM, FROTH, HEAD, LATHER",#5492ff
137,SPHERICAL THINGS,"BUBBLE, GLOBE, MARBLE, PEARL",#df7bea
138,SHAMELESS BOLDNESS,"BRASS, CHEEK, GALL, NERVE",#fbd400
138,METAL ELEMENTS,"COPPER, GOLD, NICKEL, SILVER",#69e352
138,W.N.B.A. TEAMS,"LIBERTY, MERCURY, SKY, SPARKS",#5492ff
138,THINGS WITH TRUNKS,"CARS, ELEPHANTS, SWIMMERS, TREES",#df7bea
139,SENSES,"SIGHT, SMELL, TASTE, TOUCH",#fbd400
139,APPEARANCE,"DRESS, LOOK, MANNER, STYLE",#69e352
139,“AGREE!”,"DITTO, LIKEWISE, SAME, SECOND",#5492ff
139,___ MOON,"BLUE, HARVEST, NEW, SAILOR",#df7bea
140,MISHMASH,"HASH, JUMBLE, MEDLEY, STEW",#fbd400
140,GO UP AGAINST,"CHALLENGE, CONFRONT, FACE, OPPOSE",#69e352
140,GROUP OF OFFSPRING,"BROOD, CLUTCH, HATCH, LITTER",#5492ff
140,GUITAR PARTS,"BODY, BRIDGE, FRET, NECK",#df7bea
141,BIRD FEATURES,"BEAK, FEATHER, TALON, WING",#fbd400
141,BLINK OF AN EYE,"FLASH, HEARTBEAT, SECOND, WINK",#69e352
141,MAHJONG TILES,"BAMBOO, DRAGON, SEASON, WIND",#5492ff
141,___ BUTTON,"BELLY, HOT, PANIC, SNOOZE",#df7bea
142,FLOWERS,"DAISY, ROSE, TULIP, VIOLET",#fbd400
142,SEEN ON A FARM,"BARN, CHICKEN, FARMER, TRACTOR",#69e352
142,HORROR DIRECTORS,"ASTER, CARPENTER, CRAVEN, WAN",#5492ff
142,___ JACKET,"DUST, LIFE, SPORTS, YELLOW",#df7bea
143,SOCIAL MEDIA ACTIONS,"FOLLOW, LIKE, SHARE, SUBSCRIBE",#fbd400
143,USE A NEEDLE AND THREAD,"DARN, HEM, SEAM, SEW",#69e352
143,SHOWS SET IN HOSPITALS,"ER, HOUSE, RATCHED, SCRUBS",#5492ff
143,EXPRESSIONS OF HESITATION,"ERM, UH, UM, WELL",#df7bea
144,IGNITE,"BURN, KINDLE, LIGHT, TORCH",#fbd400
144,INFORMATION,"DATA, INFO, INTEL, NEWS",#69e352
144,SMALL WOODED AREA,"DELL, GLEN, HOLLOW, VALLEY",#5492ff
144,THINGS WITH CORES,"APPLE, COMPUTER, PLANET, REACTOR",#df7bea
145,NEVERTHELESS,"HOWEVER, STILL, THOUGH, YET",#fbd400
145,REPEATED WORDS IN EXPRESSIONS,"HEAR, KNOCK, THERE, TUT",#69e352
145,WORDS ABBREVIATED WITH LETTERS,"ARE, SEE, WHY, YOU",#5492ff
145,ROYAL ___,"FAMILY, FLUSH, JELLY, WE",#df7bea
146,WAYS TO PREPARE,"DRILL, PRACTICE, STUDY, TRAIN",#fbd400
146,HOLLOW CYLINDERS,"HOSE, PIPE, STRAW, TUBE",#69e352
146,WEAPONS IN THE GAME CLUE,"CANDLESTICK, KNIFE, ROPE, WRENCH",#5492ff
146,“E-” THINGS,"BIKE, CIGARETTE, SPORTS, TICKET",#df7bea
147,UNCHANGING,"EVEN, LEVEL, STABLE, STEADY",#fbd400
147,"LONG, SHARP OBJECTS","LANCE, PIN, SKEWER, SPIT",#69e352
147,MUSIC PUBLICATIONS,"BILLBOARD, PITCHFORK, ROLLING STONE, SPIN",#5492ff
147,WORDS WITH NUMERICAL PREFIXES,"BICYCLE, QUADRANT, TRILOGY, UNIFORM",#df7bea
148,INVESTMENTS,"BOND, CD, OPTION, STOCK",#fbd400
148,TERMS FOR RECORDS,"LP, PLATTER, VINYL, WAX",#69e352
148,CUBE-SHAPED,"BOUILLON, DIE, ICE, SUGAR",#5492ff
148,WORDS THAT GO WITH “BONE”,"FUNNY, HERRING, SOUP, WISH",#df7bea
149,DIGITAL NOTIFICATION SOUNDS,"CHIME, DING, PING, RING",#fbd400
149,TATTLE,"RAT, SING, SNITCH, SQUEAL",#69e352
149,GROUP WITHIN A GROUP,"CAMP, DIVISION, FACTION, WING",#5492ff
149,MICROSOFT PRODUCTS,"BING, EDGE, SURFACE, WORD",#df7bea
150,BROUGHT TO THE BEACH,"FLIP-FLOP, SUNSCREEN, TOWEL, UMBRELLA",#fbd400
150,TYPES OF FRENCH FRIES,"CURLY, SHOESTRING, WAFFLE, WEDGE",#69e352
150,EQUIVOCATE,"HEDGE, SEE-SAW, WAVER, YO-YO",#5492ff
150,SECOND WORDS OF VODKA COCKTAILS,"BREEZE, MARY, MULE, RUSSIAN",#df7bea
151,DOCTORS’ ORDERS,"DIET, EXERCISE, FRESH AIR, SLEEP",#fbd400
151,EMAIL ACTIONS,"COMPOSE, FORWARD, REPLY ALL, SEND",#69e352
151,PODCASTS,"RADIOLAB, SERIAL, UP FIRST, WTF",#5492ff
151,___ COMEDY,"BLACK, DIVINE, PROP, SKETCH",#df7bea
152,SPICES,"ANISE, DILL, NUTMEG, SAGE",#fbd400
152,INTELLIGENT,"BRIGHT, QUICK, SHARP, SMART",#69e352
152,DEODORANTS,"AXE, DEGREE, OLD SPICE, SECRET",#5492ff
152,MEDIEVAL WEAPONS,"CLUB, MACE, SPEAR, SWORD",#df7bea
153,SPARSE/LACKING,"LIGHT, SHORT, SPARE, THIN",#fbd400
153,FUN TIME,"BALL, BLAST, KICK, RIOT",#69e352
153,FILMMAKING EQUIPMENT,"BOOM, DOLLY, LENS, TRIPOD",#5492ff
153,“GET A ___!”,"CLUE, GRIP, LIFE, ROOM",#df7bea
154,PRESIDENTS,"FORD, GRANT, LINCOLN, WILSON",#fbd400
154,SPORTS PROFESSIONALS,"COACH, GM, PLAYER, SCOUT",#69e352
154,CAR COMPANIES,"BMW, HONDA, JAGUAR, SUBARU",#5492ff
154,COMMON PREFIXES,"AUTO, POST, SEMI, SUB",#df7bea
155,UNIT OF LANGUAGE,"LETTER, PARAGRAPH, SENTENCE, WORD",#fbd400
155,TRADEMARK,"FEATURE, HALLMARK, STAMP, TRAIT",#69e352
155,FUNNY PERSON,"CARD, CLOWN, CUTUP, JOKER",#5492ff
155,THINGS WITH LEAVES,"BOOK, TABLE, TEA, TREE",#df7bea
156,BASIC EMOTIONS,"ANGER, FEAR, HAPPINESS, SURPRISE",#fbd400
156,BIT OF VOCAL FANFARE,"BEHOLD, PRESTO, TADA, VOILA",#69e352
156,OBTAIN,"GET, LAND, SECURE, WIN",#5492ff
156,___ ANT,"ADAM, CARPENTER, FIRE, RED",#df7bea
157,“GROSS!”,"EW, ICK, PU, UGH",#fbd400
157,MAGAZINES,"O, OK, US, W",#69e352
157,“YES” IN DIFFERENT LANGUAGES,"DA, HAI, JA, SI",#5492ff
157,HOMOPHONES,"OUI, WE, WEE, WII",#df7bea
158,BALDERDASH,"BULL, HOGWASH, NONSENSE, ROT",#fbd400
158,HELM,"DIRECT, GUIDE, LEAD, STEER",#69e352
158,SINGLE/PLURAL ANIMALS,"BUFFALO, DEER, FISH, MOOSE",#5492ff
158,GREAT ___,"DANE, LAKE, SEAL, WHITE",#df7bea
159,BODYWEIGHT EXERCISES,"DIPS, LUNGES, PLANKS, SQUATS",#fbd400
159,EMAIL SIGN-OFFS,"BEST, CHEERS, REGARDS, THANKS",#69e352
159,"M.L.B. TEAMS, FOR SHORT","CARDS, JAYS, NATS, YANKS",#5492ff
159,ELIZABETHS (AND ONE ELISABETH),"BANKS, MOSS, TAYLOR, WARREN",#df7bea
160,QUICK PEEK,"GANDER, GLANCE, GLIMPSE, LOOK",#fbd400
160,DECEIT,"ACT, BLUFF, CHARADE, FRONT",#69e352
160,PARTS OF A MOUNTAIN,"CLIFF, CRAG, LEDGE, RIDGE",#5492ff
160,HOMOPHONES,"PEAK, PEEK, PEKE, PIQUE",#df7bea
161,ONSET,"BIRTH, CREATION, DAWN, START",#fbd400
161,VENERABLE,"AUGUST, GRAND, NOBLE, REGAL",#69e352
161,WALK,"MARCH, STEP, STRIDE, TREAD",#5492ff
161,___ DAY HOLIDAYS,"EARTH, GROUNDHOG, LABOR, MAY",#df7bea
162,RELIGIOUS FIGURES,"CARDINAL, LAMA, MONK, PASTOR",#fbd400
162,PRIMATES,"BABOON, BONOBO, GIBBON, GORILLA",#69e352
162,CHUTNEY VARIETIES,"MANGO, MINT, TAMARIND, TOMATO",#5492ff
162,IMITATE,"APE, MIME, MIRROR, PARROT",#df7bea
163,TYPES OF TEETH,"CANINE, FANG, MOLAR, TUSK",#fbd400
163,FASHIONABLE,"CHIC, HIP, HOT, IN",#69e352
163,DANCE MOVES,"FLOSS, ROBOT, VOGUE, WORM",#5492ff
163,THINGS THAT SUCK,"LEECH, STRAW, VACUUM, VAMPIRE",#df7bea
164,AREAS BETWEEN MOUNTAINS AND HILLS,"CANYON, GULCH, PASS, RAVINE",#fbd400
164,EAT VORACIOUSLY,"GORGE, GULP, SCARF, WOLF",#69e352
164,FEATURED IN “SNOW WHITE”,"APPLE, BASHFUL, MIRROR, QUEEN",#5492ff
164,“C” + BIRD,"CHEN, CLARK, COWL, CRAVEN",#df7bea
165,FOODS WITH CRUSTS,"PASTY, PIE, TART, TURNOVER",#fbd400
165,ENDING IN A SILENT “T”,"BOUQUET, PARFAIT, RAGOUT, RAPPORT",#69e352
165,COUNTRIES WITH RED AND WHITE FLAGS,"JAPAN, POLAND, TUNISIA, TURKEY",#5492ff
165,N.B.A. GREATS,"BIRD, CURRY, JAMES, JORDAN",#df7bea
166,CRITICIZE,"KNOCK, PAN, ROAST, SLAM",#fbd400
166,REALITY SHOWS,"ALONE, CATFISH, CHOPPED, SURVIVOR",#69e352
166,CAR BRANDS,"FIAT, JAGUAR, MINI, RAM",#5492ff
166,___ PAD,"BACHELOR, LILY, MAXI, MOUSE",#df7bea
167,SECLUDED,"HIDDEN, PRIVATE, REMOTE, SECRET",#fbd400
167,AGGREGATE SIZE,"AMOUNT, NUMBER, QUANTITY, VOLUME",#69e352
167,BODIES OF WATER,"CANAL, CHANNEL, SOUND, STRAIT",#5492ff
167,READS THE SAME ROTATED 180°,"96, MOW, NOON, SIS",#df7bea
168,MUNICIPALITIES,"CITY, COUNTY, TOWN, VILLAGE",#fbd400
168,BLENDER BUTTONS,"CHOP, GRIND, PULSE, PUREE",#69e352
168,FINANCIAL TERMS,"CAPITAL, EQUITY, INTEREST, STOCK",#5492ff
168,___ LEAGUE,"IVY, JUSTICE, LITTLE, PREMIER",#df7bea
169,CARRY A TUNE,"HUM, SCAT, SING, WHISTLE",#fbd400
